Age,MaritalStatus,NumberOfDependents,EducationLevel,EmploymentStatus,Experience,AnnualIncome,SavingsAccountBalance,MonthlyDebtPayments,CreditScore,DebtToIncomeRatio,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,LengthOfCreditHistory,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LoanAmount,LoanPurpose,LoanDuration,RiskScore,LoanApproved
29,Married,0.0,High School,Unemployed,6.0,100000.0,101093.0,1403,423.0,0.168,37.6,4,3,4.8,1,0,18.9,237173,Auto,24,46.5,1
26,Married,3.0,Bachelor's,Unemployed,3.0,100000.0,3589.0,918,602.0,0.11,95.3,3,3,3.6,0,0,66.2,71278,Debt Consolidation,12,24.7,1
23,Single,0.0,High School,Self-Employed,8.0,223655.0,40834.0,743,474.0,0.04,55.5,2,4,3.4,0,0,45.9,118500,Education,120,30.0,1
23,Married,0.0,High School,Employed,3.0,188564.0,56314.0,4080,428.0,0.26,44.2,5,1,3.3,1,0,45.1,486903,Debt Consolidation,60,35.2,0
26,Single,1.0,Bachelor's,Employed,6.0,373934.0,6516.0,2039,423.0,0.065,41.3,4,1,3.3,0,1,44.2,971213,Home,48,36.8,1
27,Married,2.0,High School,Self-Employed,7.0,142417.0,60442.0,2526,370.0,0.213,36.1,5,1,4.9,1,0,28.2,260958,Personal,180,54.7,0
18,Single,1.0,Bachelor's,Self-Employed,3.0,202417.0,38356.0,2553,414.0,0.151,45.0,5,1,0.0,0,0,56.8,445441,Debt Consolidation,48,35.7,1
20,Single,0.0,High School,Employed,2.0,100000.0,21992.0,237,451.0,0.028,38.4,1,2,0.7,0,1,37.6,225031,Business,48,32.2,1
25,Married,0.0,Bachelor's,Employed,2.0,185874.0,86230.0,3090,362.0,0.199,62.9,5,3,4.2,0,0,42.9,513649,Home,60,32.9,1
24,Single,0.0,Master's,Employed,6.0,392810.0,9337.0,5638,568.0,,83.3,2,2,2.0,0,0,60.6,515631,Business,36,35.5,1
27,Single,3.0,High School,Employed,5.0,127668.0,25595.0,1656,418.0,0.156,44.3,4,2,2.7,0,0,46.6,95126,Home,24,31.1,1
28,Single,2.0,Master's,Employed,5.0,449653.0,16612.0,4756,538.0,0.127,73.8,7,2,3.4,0,0,68.8,614819,Business,120,28.3,1
19,Single,0.0,High School,Self-Employed,2.0,100000.0,23303.0,186,412.0,0.022,43.2,4,2,0.6,1,0,29.0,229457,Auto,180,48.0,1
23,Married,0.0,High School,Self-Employed,4.0,100000.0,7073.0,852,410.0,0.102,19.3,6,2,1.6,0,1,42.3,103097,Business,180,32.9,1
27,Divorced,2.0,High School,Unemployed,0.0,100000.0,5916.0,1768,,0.212,41.6,7,2,5.3,1,0,30.3,111609,Home,60,37.9,1
26,Divorced,2.0,Bachelor's,Employed,3.0,349933.0,6344.0,5591,502.0,0.192,36.8,4,0,3.8,1,0,40.3,659335,Auto,60,41.8,1
22,Single,1.0,Bachelor's,Self-Employed,2.0,206260.0,18578.0,1503,512.0,0.087,79.1,3,3,2.6,0,0,65.2,224635,Debt Consolidation,48,28.5,1
23,Single,0.0,Bachelor's,Employed,5.0,277670.0,32583.0,549,413.0,0.024,37.9,4,4,2.2,0,1,58.0,805074,Debt Consolidation,60,38.0,1
26,Single,0.0,High School,Employed,10.0,133386.0,6822.0,1979,458.0,0.178,23.6,6,1,3.9,0,0,61.2,186857,Home,24,31.8,1
21,Single,0.0,High School,Employed,0.0,135510.0,30887.0,1950,395.0,0.173,78.3,1,1,2.2,0,0,59.7,165264,Personal,48,36.5,1
24,Single,0.0,Master's,Employed,4.0,441263.0,109397.0,2239,393.0,0.061,19.5,3,2,2.6,0,0,46.0,347320,Personal,60,32.1,1
28,Divorced,2.0,Bachelor's,Employed,3.0,,12292.0,2863,468.0,0.116,50.5,4,2,6.6,1,1,31.6,197061,Education,120,45.7,1
19,Single,0.0,Master's,Self-Employed,4.0,206783.0,70176.0,1877,378.0,0.109,80.5,3,3,0.7,0,1,46.6,558596,Education,12,48.4,1
19,Married,0.0,Bachelor's,Unemployed,0.0,100000.0,17777.0,1522,440.0,0.183,44.2,1,0,0.4,0,1,37.9,72155,Education,180,44.3,0
26,Divorced,1.0,PhD,Employed,1.0,277542.0,101608.0,1139,388.0,0.049,26.8,2,5,5.5,0,0,53.8,327864,Education,180,25.9,1
21,Single,1.0,Bachelor's,Employed,3.0,311973.0,15298.0,607,483.0,0.023,66.4,3,2,1.1,0,0,47.6,704217,Home,48,25.1,1
22,Single,0.0,Master's,Self-Employed,2.0,362510.0,28816.0,2345,517.0,0.078,59.0,3,1,2.5,1,0,37.0,911465,Business,36,37.9,1
19,Single,,Master's,Unemployed,0.0,100000.0,4953.0,513,363.0,0.062,48.8,2,4,0.5,0,0,51.4,266239,Home,24,27.5,1
22,Single,0.0,Bachelor's,Employed,4.0,256113.0,57286.0,2380,343.0,0.112,73.6,1,3,1.2,0,0,36.3,385610,Business,60,37.6,1
25,Married,1.0,High School,Employed,5.0,198181.0,21568.0,2945,,0.178,8.9,3,1,2.2,0,0,62.0,458571,Education,120,16.4,1
26,Married,2.0,Master's,Employed,9.0,132935.0,37914.0,934,517.0,0.084,44.5,3,5,3.0,0,0,45.1,240073,Business,48,30.4,1
26,Single,1.0,Bachelor's,Employed,4.0,223112.0,60311.0,1981,393.0,0.107,13.3,3,1,4.4,0,0,46.7,525642,Education,48,27.7,1
19,Married,,Bachelor's,Unemployed,0.0,103120.0,9643.0,1377,437.0,0.16,20.3,2,2,0.3,0,0,66.3,169276,Home,36,24.8,1
22,Single,0.0,Bachelor's,Self-Employed,5.0,100000.0,53836.0,1209,425.0,0.145,53.3,3,3,1.5,0,0,58.1,71232,Home,24,33.0,1
21,Single,,Master's,Employed,0.0,108268.0,17972.0,1821,369.0,0.202,70.9,5,2,1.0,0,0,50.3,55878,Home,48,40.7,1
23,Single,0.0,Bachelor's,Employed,0.0,273137.0,30296.0,4746,468.0,0.209,23.7,4,4,3.5,0,0,51.9,388509,Debt Consolidation,180,22.1,1
27,Single,3.0,Master's,Employed,9.0,199594.0,36878.0,3363,459.0,0.202,87.3,3,3,5.1,0,0,56.3,172022,Education,12,35.4,1
24,Single,0.0,Bachelor's,Employed,0.0,361407.0,303625.0,1936,518.0,0.064,37.2,5,1,3.4,0,0,63.0,935975,Personal,12,22.7,1
